[STAR]
cpr9dgp.dat               N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N042.53.36.377 W106.28.30.025 N042.54.48.513 W106.26.55.504 RVM
                          N042.54.30.387 W106.28.54.686 N042.54.32.045 W106.26.58.194 RVM
                          N042.54.29.042 W106.30.16.230 N042.54.29.387 W106.29.35.458 RVM
                          N042.54.28.010 W106.31.37.773 N042.54.28.692 W106.30.57.002 RVM
                          N042.54.26.961 W106.32.59.315 N042.54.27.652 W106.32.18.545 RVM
                          N042.54.25.568 W106.34.20.856 N042.54.26.267 W106.33.40.086 RVM
                          N042.54.25.178 W106.35.15.964 N042.54.25.194 W106.35.01.627 RVM
                          N042.54.23.390 W106.37.03.937 N042.54.24.105 W106.36.23.168 RVM
                          N042.54.21.948 W106.38.25.475 N042.54.22.671 W106.37.44.706 RVM
                          N042.54.21.149 W106.39.47.014 N042.54.21.880 W106.39.06.246 RVM
                          N042.54.19.245 W106.41.56.488 N042.54.19.260 W106.41.49.319 RVM
                          N042.54.20.003 W106.41.08.552 N042.54.20.413 W106.40.27.783 RVM
                          N042.52.53.218 W106.29.26.440 N042.53.14.634 W106.28.58.236 RVM
                          N042.52.10.050 W106.30.22.833 N042.52.31.470 W106.29.55.087 RVM
                          N042.51.26.874 W106.31.19.652 N042.51.48.627 W106.30.51.470 RVM
                          N042.50.43.361 W106.32.16.001 N042.51.05.118 W106.31.47.829 RVM
                          N042.50.11.051 W106.32.58.025 N042.50.21.931 W106.32.44.168 RVM
                          N042.49.16.971 W106.34.08.634 N042.49.38.736 W106.33.40.484 RVM
                          N042.48.33.435 W106.35.04.469 N042.48.55.204 W106.34.36.778 RVM
                          N042.47.50.550 W106.36.01.179 N042.48.11.993 W106.35.33.050 RVM
                          N042.47.06.998 W106.36.57.418 N042.47.28.775 W106.36.29.301 RVM
                          N042.45.52.742 W106.38.34.672 N042.46.02.314 W106.38.22.184 RVM
                          N042.46.23.767 W106.37.54.083 N042.46.45.548 W106.37.25.530 RVM
                          N042.55.10.578 W106.26.27.718 N042.55.31.981 W106.25.59.478 RVM
                          N042.55.53.713 W106.25.31.233 N042.56.15.442 W106.25.02.983 RVM
                          N042.56.36.511 W106.24.34.279 N042.56.58.236 W106.24.06.017 RVM
                          N042.57.19.630 W106.23.37.750 N042.57.41.352 W106.23.09.478 RVM
                          N042.58.03.071 W106.22.41.200 N042.58.13.930 W106.22.26.834 RVM
                          N042.54.33.351 W106.25.36.648 N042.54.32.700 W106.26.17.421 RVM
                          N042.54.34.312 W106.24.15.101 N042.54.33.998 W106.24.55.874 RVM
                          N042.54.35.585 W106.22.53.553 N042.54.34.951 W106.23.34.327 RVM
                          N042.54.36.843 W106.21.32.004 N042.54.36.216 W106.22.12.779 RVM
                          N042.54.37.450 W106.20.35.099 N042.54.37.136 W106.20.51.230 RVM
                          N042.54.38.651 W106.18.48.906 N042.54.38.040 W106.19.29.681 RVM
                          N042.54.39.860 W106.17.27.355 N042.54.39.257 W106.18.08.130 RVM
                          N042.54.40.723 W106.16.05.804 N042.54.40.129 W106.16.46.580 RVM
                          N042.54.42.448 W106.13.45.999 N042.54.42.153 W106.14.03.475 RVM
                          N042.54.41.570 W106.14.44.252 N042.54.40.984 W106.15.25.028 RVM
                          N042.55.15.950 W106.27.11.596 N042.55.14.782 W106.27.11.959 RVM
                          N042.55.14.782 W106.27.11.959 N042.55.13.845 W106.27.12.976 RVM
                          N042.55.13.845 W106.27.12.976 N042.55.13.325 W106.27.14.446 RVM
                          N042.55.13.325 W106.27.14.446 N042.55.13.325 W106.27.16.077 RVM
                          N042.55.13.325 W106.27.16.077 N042.55.13.845 W106.27.17.546 RVM
                          N042.55.13.845 W106.27.17.546 N042.55.14.782 W106.27.18.563 RVM
                          N042.55.14.782 W106.27.18.563 N042.55.15.950 W106.27.18.926 RVM
                          N042.55.15.950 W106.27.18.926 N042.55.17.119 W106.27.18.563 RVM
                          N042.55.17.119 W106.27.18.563 N042.55.18.056 W106.27.17.546 RVM
