[STAR]
cpr6dgp.dat               N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N042.54.46.677 W105.05.35.685 N042.53.27.035 W105.05.38.638 RVM
                          N042.53.27.035 W105.05.38.638 N042.52.07.462 W105.05.43.984 RVM
                          N042.52.07.462 W105.05.43.984 N042.50.47.994 W105.05.51.718 RVM
                          N042.50.47.994 W105.05.51.718 N042.49.28.671 W105.06.01.832 RVM
                          N042.49.28.671 W105.06.01.832 N042.48.09.532 W105.06.14.319 RVM
                          N042.48.09.532 W105.06.14.319 N042.46.50.614 W105.06.29.172 RVM
                          N042.46.50.614 W105.06.29.172 N042.45.31.958 W105.06.46.379 RVM
                          N042.45.31.958 W105.06.46.379 N042.44.13.599 W105.07.05.931 RVM
                          N042.44.13.599 W105.07.05.931 N042.42.55.578 W105.07.27.814 RVM
                          N042.42.55.578 W105.07.27.814 N042.41.37.931 W105.07.52.018 RVM
                          N042.41.37.931 W105.07.52.018 N042.40.20.696 W105.08.18.526 RVM
                          N042.40.20.696 W105.08.18.526 N042.39.03.911 W105.08.47.324 RVM
                          N042.39.03.911 W105.08.47.324 N042.37.47.612 W105.09.18.395 RVM
                          N042.37.47.612 W105.09.18.395 N042.36.31.836 W105.09.51.723 RVM
                          N042.36.31.836 W105.09.51.723 N042.35.16.621 W105.10.27.289 RVM
                          N042.35.16.621 W105.10.27.289 N042.34.02.002 W105.11.05.074 RVM
                          N042.34.02.002 W105.11.05.074 N042.32.48.015 W105.11.45.056 RVM
                          N042.32.48.015 W105.11.45.056 N042.31.34.696 W105.12.27.216 RVM
                          N042.31.34.696 W105.12.27.216 N042.30.22.079 W105.13.11.529 RVM
                          N042.30.22.079 W105.13.11.529 N042.29.10.201 W105.13.57.974 RVM
                          N042.29.10.201 W105.13.57.974 N042.27.59.095 W105.14.46.526 RVM
                          N042.27.59.095 W105.14.46.526 N042.26.48.795 W105.15.37.159 RVM
                          N042.26.48.795 W105.15.37.159 N042.25.39.335 W105.16.29.847 RVM
                          N042.25.39.335 W105.16.29.847 N042.24.30.748 W105.17.24.564 RVM
                          N042.24.30.748 W105.17.24.564 N042.23.23.067 W105.18.21.281 RVM
                          N042.23.23.067 W105.18.21.281 N042.22.16.324 W105.19.19.969 RVM
                          N042.22.16.324 W105.19.19.969 N042.21.10.552 W105.20.20.599 RVM
                          N042.21.10.552 W105.20.20.599 N042.20.05.781 W105.21.23.140 RVM
                          N042.20.05.781 W105.21.23.140 N042.19.02.042 W105.22.27.561 RVM
                          N042.19.02.042 W105.22.27.561 N042.17.59.365 W105.23.33.830 RVM
                          N042.17.59.365 W105.23.33.830 N042.16.57.781 W105.24.41.913 RVM
                          N042.16.57.781 W105.24.41.913 N042.15.57.318 W105.25.51.776 RVM
                          N042.15.57.318 W105.25.51.776 N042.14.58.006 W105.27.03.386 RVM
                          N042.14.58.006 W105.27.03.386 N042.13.59.872 W105.28.16.707 RVM
                          N042.13.59.872 W105.28.16.707 N042.13.02.943 W105.29.31.702 RVM
                          N042.13.02.943 W105.29.31.702 N042.12.07.248 W105.30.48.336 RVM
                          N042.12.07.248 W105.30.48.336 N042.11.12.812 W105.32.06.570 RVM
                          N042.11.12.812 W105.32.06.570 N042.10.19.660 W105.33.26.367 RVM
                          N042.10.19.660 W105.33.26.367 N042.09.27.818 W105.34.47.687 RVM
