[STAR]
cpr7dgp.dat               N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N042.54.19.716 W106.40.47.493 N042.54.20.084 W106.40.27.781 RVM
                          N042.54.20.818 W106.39.47.461 N042.54.21.550 W106.39.06.245 RVM
                          N042.54.21.947 W106.38.26.371 N042.54.22.671 W106.37.45.154 RVM
                          N042.54.23.390 W106.37.03.937 N042.54.23.775 W106.36.24.063 RVM
                          N042.54.24.487 W106.35.42.845 N042.54.25.194 W106.35.01.627 RVM
                          N042.54.25.897 W106.34.21.305 N042.54.26.267 W106.33.40.086 RVM
                          N042.54.26.961 W106.32.59.315 N042.54.27.652 W106.32.18.993 RVM
                          N042.54.28.339 W106.31.37.774 N042.54.28.692 W106.30.57.002 RVM
                          N042.54.29.371 W106.30.16.678 N042.54.30.045 W106.29.36.355 RVM
                          N042.54.32.371 W106.26.17.869 N042.54.33.022 W106.25.36.200 RVM
                          N042.54.33.669 W106.24.55.874 N042.54.34.311 W106.24.14.653 RVM
                          N042.54.34.950 W106.23.32.535 N042.54.35.256 W106.22.53.553 RVM
                          N042.54.35.887 W106.22.12.779 N042.54.36.513 W106.21.31.557 RVM
                          N042.54.36.807 W106.20.51.231 N042.54.37.425 W106.20.10.008 RVM
                          N042.54.38.040 W106.19.29.681 N042.54.38.650 W106.18.48.458 RVM
                          N042.54.39.256 W106.18.07.682 N042.54.39.530 W106.17.26.907 RVM
                          N042.54.40.129 W106.16.46.580 N042.54.40.722 W106.16.05.355 RVM
                          N042.54.41.312 W106.15.24.131 N042.54.41.569 W106.14.43.356 RVM
                          N043.01.21.414 W106.18.19.707 N043.00.59.383 W106.18.48.486 RVM
                          N043.00.38.009 W106.19.16.360 N043.00.15.975 W106.19.45.576 RVM
                          N042.59.54.597 W106.20.13.887 N042.59.33.217 W106.20.42.194 RVM
                          N042.59.11.506 W106.21.10.495 N042.58.50.122 W106.21.38.790 RVM
                          N042.58.28.407 W106.22.07.080 N042.58.07.019 W106.22.34.916 RVM
                          N042.57.45.300 W106.23.03.644 N042.57.23.579 W106.23.32.366 RVM
                          N042.57.01.856 W106.24.00.634 N042.56.40.131 W106.24.28.896 RVM
                          N042.56.18.734 W106.24.57.153 N042.55.57.005 W106.25.25.405 RVM
